group,users,retained_d1,retained_d7,retention_d1,retention_d7,mean_rounds,median_rounds,share
control,44700,20034,8502,0.4481879194630872,0.19020134228187918,52.45626398210291,17.0,0.49562585237667567
treatment,45489,20119,8279,0.44228274967574577,0.18200004396667327,51.29877552814966,16.0,0.5043741476233243
